Feed,List,Title,Description,Text,FeedNode,FeedFields,Selected,BarName,CORS,TopFields,AllFields,URL
food,food,Food,"The FoodData Central API provides REST access to FoodData Central (FDC) - This URL provides the food nutrients for the 5 following items: ""Agave, cooked (Southwest)"", ""Acorn stew (Apache), Acerola"", ""(west indian cherry), raw"", ""Acerola juice, raw"", and ""Abiyuch, raw""",TRUE,,,,,,,,"https://api.nal.usda.gov/fdc/v1/foods/list?dataType=Foundation,SR%20Legacy&pageSize=5&pageNumber=1&api_key=bLecediTVa2sWd8AegmUZ9o7DxYFSYoef9B4i1Ml"
usda,usda,Nutrition label,"Three Square Inc., CRYSTAL FARMS - Cheddar Cheese - food nutrition data",TRUE,,,['foodAttributes'],,,,,https://api.nal.usda.gov/fdc/v1/food/2015943?api_key=bLecediTVa2sWd8AegmUZ9o7DxYFSYoef9B4i1Ml
farmfresh,farmfresh,Farm Fresh,"State of Michigan, List of Farmers Markets",,,,,,,,,https://www.usdalocalfoodportal.com/api/farmersmarket/?apikey=UXLbsdPdCU&state=mi
us-cities,us-cities,US Cities,"US Cities with lattude, longitude and elevation. Source: https://gist.github.com/soodoku/5e356befbcc35b6a7a6bd00f34455d46",TRUE,,,,,,"City,State,Latitude,Longitude,Elevation","State,City,Latitude,Longitude,Elevation",https://gist.githubusercontent.com/soodoku/5e356befbcc35b6a7a6bd00f34455d46/raw/4a85cf9a5dbf304c0f8baf108e9df2e0f1b85ca8/towns.csv
rs-params,rs-params,RealityStream parameters.yaml,,,,,,,,,,https://raw.githubusercontent.com/ModelEarth/realitystream/main/parameters/parameters.yaml
diffbot,diffbot,DiffBot JSON API,,,,,,name,,,,https://kg.diffbot.com/kg/dql_endpoint?type=query&token=31c80e03058e4f5b86585fb9e97640a6&size=50&from=0&query=pluto
serp,serp,SERP Results,"*URL issue: ""error"": ""Invalid API key. Your API key should be here: https://serpapi.com/manage-api-key""*",,,,,,TRUE,,,https://serpapi.com/search.json?q=Open+WebUI&google_domain=google.com&api_key=
US:Count_Person,US:Count_Person,US State Populations,"US State census data by state - needs review, I am only able to find state date breakdown if i click on the facet links until I find one that has the info on the site itself - Facet# 2176550201 has the most comprehensive tables but ",,,,,,,,,https://api.datacommons.org/v2/observation?key=AIzaSyCTI4Xz-UW_G2Q2RfknhcfdAnTHq5X5XuI&date=LATEST&entity.dcids=country%2FUSA&select=entity&select=variable&select=value&select=date&variable.dcids=Count_Person
LandCoverFraction_Forest,LandCoverFraction_Forest,Land Cover Forest,Land Coverage data for California Counties (All 58 counties organized by US Census 'geo-Id'),,,,,,,,,https://api.datacommons.org/v2/observation?key=AIzaSyCTI4Xz-UW_G2Q2RfknhcfdAnTHq5X5XuI&date=2015&date=LATEST&entity.expression=geoId%2F06%3C-containedInPlace%2B%7BtypeOf%3ACounty%7D&select=date&select=entity&select=value&select=variable&variable.dcids=LandCoverFraction_Forest
datausa,datausa,Data USA,2022 - Population by State/Territory (includes data from PR & DC). ,,,,,,,,,https://datausa.io/api/data?drilldowns=State&measures=Population&year=latest
gdc,gdc,Google Data Commons,Fulton County Georgia (GA #geoId/13 / Fulton County #geoId/13121) - outdated facet link if that matters,,,,,,,,,https://api.datacommons.org/v2/observation?key=AIzaSyCTI4Xz-UW_G2Q2RfknhcfdAnTHq5X5XuI&entity.dcids=geoId/13121&date=2019&select=date&select=entity&select=value&select=variable&variable.dcids=LandCoverFraction_Forest
open311,open311,See Click Fix CORS,All posts by Reddancer,TRUE,,,,,TRUE,,,https://seeclickfix.com/open311/v2/requests.json?lat=$latitude&long=$longitude
sectors,sectors,USEEIO Sectors,,,,,,,,,,https://raw.githubusercontent.com/ModelEarth/useeio-json/main/models/2020/GAEEIOv1.0-s-20/sectors.json
flow,flow,USEEIO Flow GAEEIOv1.0-s-20,,,,,,,,,,https://raw.githubusercontent.com/ModelEarth/useeio-json/main/models/2020/GAEEIOv1.0-s-20/flows.json
D-matrix,D-matrix,D Matrix,,,,,,,,,,https://raw.githubusercontent.com/ModelEarth/useeio-json/main/models/2020/GAEEIOv1.0-s-20/matrix/D.json
civictechindex,civictechindex,Civic Tech Organizations,,,,,,name,,,,https://api-stage.civictechindex.org/api/organizations/
civictechlinks,civictechlinks,Civic Tech Links,,,,,,link_type,,,,https://api-stage.civictechindex.org/api/links/
epd,epd,Environmental Product Declaration,,,,,,,,,,/io/template/feed/toy100.json
repo,repo,Repo Images,Images fetched from /home/repo images,TRUE,,,,,TRUE,,,https://api.github.com/repos/modelearth/requests/git/trees/main?recursive=1
videoTest,videoTest,VideoTest,Video-Testing,TRUE,,,,,TRUE,,,https://raw.githubusercontent.com/ModelEarth/feed/refs/heads/main/src/Data/test.json
swiper,swiper,SwiperMedia,Get Image from swiper,TRUE,,,,,TRUE,,,"sessionStorage.getItem(""swiperMedia"")"
linkedvideo,linkedvideo,LinkedVideo,View Pasted Linked Videos on the Player,TRUE,,,,,TRUE,,,
seeclickfix-test,seeclickfix-test,SeeClickFix Multi-Feed Test,Testing SeeClickFix image filtering with NASA feed,TRUE,,,,,TRUE,,,https://seeclickfix.com/api/v2/issues?lat={latitude}&lng={longitude}&per_page=10|https://api.nasa.gov/planetary/apod?api_key=DEMO_KEY
nisar-6,nisar-6,L2 GCOV (CSV),Tabular results for covariance (Date 1),TRUE,,,,,,,,https://nisar.asf.earthdatacloud.nasa.gov/NISAR-SAMPLE-DATA/GCOV/NISAR_L2_PR_GCOV_001_030_A_019_2800_SHNA_A_20081012T060911_20081012T060925_D00404_N_F_J_001/NISAR_L2_PR_GCOV_001_030_A_019_2800_SHNA_A_20081012T060911_20081012T060925_D00404_N_F_J_001_QA_SUMMARY.csv
